Author,Handle,Post,Date,Likes,Reposts,Comments,Post Link,Profile Link
Delight_Traveler,@oleykan69,@KenyaPower_Care how long does it take to restore a transformer once it is damaged or vandalised ?until culprits are brought to book maybe is when our tiekunu lines will power up?? kindly check this neighborhood just off mutarakwa-dagoretti rd thank you,29-Apr,,,,https://x.com/oleykan69,https://x.com/oleykan69
@kak_yeah,@kak_yeah,"Your transformer vihiga county, sabatia subcounty,sabatia division,wodanga location, mudungu village burning with very scaring flares currently..... kindly assist us",29-Apr,1,,3,https://x.com/kak_yeah,https://x.com/kak_yeah
OTIS JANAM,@Woud_Nyathira,No light for 28days now and your service men want to be bribed with ksh 20k to restore a transformer which they carried ..what kind of service delivery is that ??,29-Apr,,,2,https://x.com/Woud_Nyathira,https://x.com/Woud_Nyathira
ellemanani,@ellemanani,@KenyaPower_Care it’s been 26+ hours without power. Transformer blew last night. Tafadhali tafadhali tafadhali sort us out. 14106536981.,29-Apr,,,,https://x.com/ellemanani,https://x.com/ellemanani
Kenn smith,@Smithkmn,"When will you guys ever think of doing a phase balancing on our transformer at Gathiga, Kabete in Kiambu county, every evening the fuse has to blow out rendering our line with no power. Why do our neighbours enjoy lights while we dont?. #11073301",29-Apr,,,1,https://x.com/Smithkmn,https://x.com/Smithkmn
cynthia matere,@CynthiaMatere,What. Who can go near transformer where live wire is concerned. It's absurd that until now the problem is still not resolved. Jesus,29-Apr,,,,https://x.com/CynthiaMatere,https://x.com/CynthiaMatere
Sioch,@CliffOsoro92176,What's wrong with ruai  block 10 transformer...no power,29-Apr,,,,https://x.com/CliffOsoro92176,https://x.com/CliffOsoro92176
julie Gaturuku,@julietdotts,"@KenyaPower_Care 
Hallo.Good evening!
No power.
Account -no.43434497.
Please, you took our transformer on Friday and we are still in darkness.
Thank you.",29-Apr,,,1,https://x.com/julietdotts,https://x.com/julietdotts
Terry Munyua Waititu,@shherryyzz,@KenyaPower_Care A transformer has burst into a flame at the entrance of Theta Hotel on Kenyatta road. We have had no  power since then. Kindly look into it. Meter no. 54402766544.,29-Apr,,,3,https://x.com/shherryyzz,https://x.com/shherryyzz
Maero Waka,@maerowaka,"Issue has been in your offices hundreds of time. Few times transformer taken for repair, lakini .....",29-Apr,,,1,https://x.com/maerowaka,https://x.com/maerowaka
