Author,Handle,Post,Date,Likes,Reposts,Comments,Post Link,Profile Link
nyanchama winnie,@flourishing001,"What is happening in Ndenderu near the dispensary,we don't have power from Thursday last week.k8ndly work swiftly to restore",31-Jul,,,1,https://x.com/flourishing001,https://x.com/flourishing001
Matthias Mbithi,@matthiasmbithiw,"@KenyaPower_Care why should we have daily power blackouts at Nuu subcounty of Mwingi area?
Restore power at Kaai market. Nearest landmark is Kaai Primary and Kaai Girls",31-Jul,,,,https://x.com/matthiasmbithiw,https://x.com/matthiasmbithiw
simon ndungu,@nsimwa29,Hey..  Mombasa Nyali not yet restored power back...,31-Jul,,,2,https://x.com/nsimwa29,https://x.com/nsimwa29
Haro De Maliwa,@Kidaharo,@KenyaPower_Care Power outage behind rubis northern bypass kindly restore power,31-Jul,,,3,https://x.com/Kidaharo,https://x.com/Kidaharo
¥ THE GAME CHANGER ¥,@Edubrown32,@KenyaPower_Care Hello is there a delay in purchasing prepaid tokens,31-Jul,,,2,https://x.com/Edubrown32,https://x.com/Edubrown32
Lawrence Chiro,@Chiro2Lawrence,@KenyaPower_Care 9 hours delay for token payed is very unprofessional and frustrating,31-Jul,,,1,https://x.com/Chiro2Lawrence,https://x.com/Chiro2Lawrence
Robert chumba,@RobertChumba477,"@KenyaPower_Care We have power outage here at Tassia stage since  yesterday Evening and nothing has been done to restore normalcy by your technicians, kindly handle the situation",31-Jul,,,1,https://x.com/RobertChumba477,https://x.com/RobertChumba477
washingtone Kuggah,@WKuggah,Restore power its past 4:00 Pm,31-Jul,,,,https://x.com/WKuggah,https://x.com/WKuggah
Penny,@PoablyPenny,"Thank you, Power was restored.",31-Jul,,,2,https://x.com/PoablyPenny,https://x.com/PoablyPenny
Curious Mind,@Gathoni33861257,"@KenyaPower_Care @KenyaPower_Care We are experiencing power outage at rungiri, kinoo area since morning kindly restore @KenyaPower_Care @KenyaPower_Care @KenyaPower_Care",31-Jul,,,1,https://x.com/Gathoni33861257,https://x.com/Gathoni33861257
Bryan,@Bryan_wamuu,@KenyaPower no electricity in uthiru 87 kindly restore thanks,31-Jul,,,1,https://x.com/Bryan_wamuu,https://x.com/Bryan_wamuu
