Author,Handle,Post,Date,Likes
Men_A_CE001,@Men_A_CE001,@KenyaPower_Care when is this transformer being replaced?! You guys can’t have us on chokehold for an entire week with no official communication or action!!!!,Jul-27,
Akoth Edith Male,@AkothMale,@KenyaPower_Care no power along some parts of Naivasha Road. Heard a very loud bang as though a transformer blew and no power since then kindly respond.,Jul-27,
Konki,@Konki332342,@KenyaPower_Care @Kericho county Bureti constituency cheplanget ward tabaita village the transformer in this place is really old it keeps on breaking down it is barely 24hrs before it's was made and it is down again plz we need a new fuse,Jul-27,
Jeff_k28,@J3ff_k28,"@KenyaPower_Care  and @KenyaPower Its been a month and a half since you took a transformer in Nakuru county , Rongai constituency , Ol Rongai to be precise , for a repair ... Will be 2 months now without power 
Any feedback or response about this and when",Jul-27,1
overthinker,@__overthinkerrr,Is fixing a transformer that hard  na ingekuwa areas kama za Karen ama Lavi huko inafixiwa within a day?what do you people want surely?,Jul-27,
Janet Ndunge,@DzhaneyL,So Ruai bypass is again in darkness after waiting for a transformer for a week 22170695617,Jul-27,
Simon Maina,@iamsimonmaina,"@KenyaPower_Care 
Hello,, it's been a week since a transformer was carried for maintenance by your team and it has not been returned..
We have been in the dark since then...
In kikuyu subcounty,kamangu,ndeiya",Jul-27,
victor agustin,@vshikuunzi,"@KenyaPower_Care hello,its now 1week down the line without power at sunton police station Kasarani and its environs, our faulty transformer was picked by your staff and never returned nor replaced.whats going on please... we're in darkness since Sunday",Jul-27,
David Kiragu,@davidwkiragu,@KenyaPower_Care no power in buruburu phase 1 behind mesora and there was a loud blust from the transformer near us kindly work on it,Jul-26,1
John Evans,@Selluh097,"@KenyaPower_Care one of your transformers exploded around Roysambu Merima 1st Avenue, I'm wondering how long it takes to fix it..",Jul-26,1
N7,@Nandanyonge,"Good evening too 
When will you restore power to Mumias Kids center and customers around the that transformer.
It is now 4 days and Mumias branch seems uninterested.
Value your customers please.",Jul-26,
Odhis,@Odhis49143912,We have been in total darkness for the last two weeks jacaranda grounds at stepa.......can you please solve this issue of transformer once and for all,Jul-26,
Mze,@JakobMze,Please bring us a transformer...four months is a  long time without power.,Jul-26,
jymo,@jameschege96,@KenyaPower_Care Hallo we don't have power for the last two weeks due to transformers leakage  in jujafarm kwa murage it has been happening several times and they still bring the same transformer we are kindly requesting you do something in the same.,Jul-26,
Irungu James,@IrunguJames15,Thank you kplc. You've solved Murang'a town issue by re-installing the faulty transformer now repaired.,Jul-26,
Shiku Maina,@ShikuMa12231424,Are you guys going to do something about the transformer in thika around kivulini estate because it's been a week,Jul-26,
rosecaren wairimu,@RosecarenW,"@KenyaPower_Care 
What is not happening. On Monday at around 8:25pm our transformer failed and you people have failed to respond. Today is Friday yet people are still in darkness. We have reported and called to no avail. At sunton,kasarani.",Jul-26,1
SG,@gitausamm,"Kenya power for christ sake. Kasarani Sunton Police Station and sorrounding Over a week no power. You carried the Transformer, how can we continue in this situation??",Jul-26,
D-Man,@Thee_Ngich,"Advice the team to fix the low hanging cables 200m from the transformer on your way to TTC, they're easily hit by lorries plying the route.",Jul-26,1
fefe_astro,@FefeAstro,Transformer power failure now 6 days. I have not witnessed any of your ground agents taking care of the situation actually.,Jul-26,
rosecaren wairimu,@RosecarenW,"@KenyaPower_Care 
What is not happening. On Monday at around 8:25pm our transformer failed and you people have failed to respond. Today is Friday yet people are still in darkness. We have reported and called to no avail. At sunton,kasarani.",Jul-26,1
SG,@gitausamm,"Kenya power for christ sake. Kasarani Sunton Police Station and sorrounding Over a week no power. You carried the Transformer, how can we continue in this situation??",Jul-26,
D-Man,@Thee_Ngich,"Advice the team to fix the low hanging cables 200m from the transformer on your way to TTC, they're easily hit by lorries plying the route.",Jul-26,1
fefe_astro,@FefeAstro,Transformer power failure now 6 days. I have not witnessed any of your ground agents taking care of the situation actually.,Jul-26,
Dr.David Kabata,@knowledgehawker,@KenyaPower_Care we are without electricity at jalyn school transformer one line 92108193449,Jul-26,
Mze,@JakobMze,@KenyaPower_Care how much longer will we wait for a transformer? Meter number 106154933 has been without power for four months now.,Jul-26,
Ben Powerist,@KanyiNgatia,"RUAI: It's darkness for a large section of Ruai from MONDAY. 5 DAYS NOW. When you KPLC switched off and carried away a functional transformer on Monday, even if you have no heart for businesses and households, WHAT ABOUT THESE KIDS IN THE DARK AT A PRIMARY BOARDING SCHOOL?",Jul-26,
overthinker,@__overthinkerrr,Stranded for a whole week at kasarani Santon area due to transformer explosion.Watu wanaumia.,Jul-26,
modern furnitures,@modernfurn_ture,Rudisheni transformer bana…whole week bila stima,Jul-26,
@nyawira,@nyawira,Still wondering how we have stayed without power for a whole week due to blown transformer and nothing has been done even after lots of complains and mind you Kenya power office is just next to us so frustrating (Ruai),Jul-25,1
lucy wairimu,@LucyW36226,For the last 3 days hurlighum ruai hatuna stima.. walikam wakabeba transformer cjui wakaweke nini mpaka saa hii..,Jul-25,
Kîmata Mûhaha,@KilimataM,"@KenyaPower_Care please restore power to Soweto, Kayole opposite PEFA CHURCH. You took away a transformer that serves us a week ago. We've since been inconvenienced!
Cc: @HEBabuOwino.",Jul-25,
Kîmata Mûhaha,@KilimataM,"@KenyaPower_Care 
Greetings,
Am a concerned customer. A transformer exploded awhile ago in Soweto Kayole near Sheepcare and PEFAchurch. Two days later your officers came, assessed the situation and  later dismounted  the transformer and went away with it.",Jul-25,
Mze,@JakobMze,@KenyaPower_Care how much longer will we wait for a transformer? Meter number 106154933 has been without power for four months now.,Jul-25,
Kelvin A.,@YungYeezy_Ke,"@KenyaPower_Care Big up to the Ruai Team. The last 2wks we've not experienced weekly blackouts that had frequented every 2days in Utawala Airways. Seen them do daily maintenance of transformers.

Mambo iko shwari .",Jul-25,
Calvin Smawl,@calvin_smawl,"@OsoroSylvanus @KenyaPower_Care Hello. The residents of Ekona centre, Etago Sub County, Kisii County have been without electricity for two weeks now. The transformer exploded a 2 wks ago. Due to this, resetting and updating the token metres has bn a probl",Jul-25,1
dan mpatinga,@DMpatinga55144,"Narasha transformers is burning in narok east,",Jul-25,
benson mugo,@B_enMugo,Power outage in Kamulu Athi near St Mary Catholic church due to a faulty transformer that has never been fixed since 2015.,Jul-25,
eric Alpha,@erickamotho,"@KenyaPower_Care hi kplc meter number 92105061144, there was a huge explosion yesternight, i guess something went wrong with the transformer - area is Gathiga kirawa road",Jul-25,
