Post,Vader_sentiment_label,Post Link
already blackout,neutral,
blackout whole njoro egerton university area please hope getting power back,positive,
blackout please resolve,positive,
kindly check power line weve blackout yesterday today time pm businesses run need power come fix guys located behind melissa academy acc,positive,
kindly check power line weve blackout yesterday today time pm businesses run need power cant suffer losses time located behind melissa academy acc,positive,
blackout last hrs kindly work,positive,
kindly check power line weve blackout yesterday today time pm businesses run need power located behind melissa academy acc,positive,
blackout since yesterday pm meter number,positive,
blackout since yesterday meter number,positive,
blackout since yesterday pm meter number,positive,
hi power hours makadara mogas jogoo rd total blackout,neutral,
ac juja mastore area kalimoni road abasalama primary power blackout hours please assist,positive,
didnt give notice blackout gakale area kombani kwale county since thursday night must joking,positive,
blackout bungoma police area since,neutral,
time blackout end,neutral,
mbona tuko na blackout sunday na hakuna scheduled maintenance please restore mtr,positive,
morning kindly note power blackout around tassia embakasi east near baraka estate kindly expedite restore normalcymeter,positive,
surely blackout sunday morning tassia police post area mtr,positive,
hi complained yesterday korusoin dam got alila area response reaction still utter blackout called people office nothing level incompetence must stop equipment site dam risk something call muhoroni,negative,
kindly blackout last night reference number waited whole day team thank,positive,
mukima garden estate blackout hours days food bad chargeable lights n phones dead stuck,negative,
blackout see dm,neutral,
power blackout area reference number kindly advise,positive,
heyy blackout area every day like cant good electricity without getting lost,positive,
blackout meru account number,positive,
hello last night blackout continued whole day till possible inform us time store food items coz loses much wonder long sickening,negative,
please respond dm blackout hours days food bad chargeable lights n phones dead stuck,negative,
irritating one place keep power blackouts every evening everyday blackout finished full weeks without power bagas ashamed incompetence per excellence complaint,negative,
blackout meter number though designated area,positive,
need assistance token metre keeps showing failed try feed tokens stuck token readings days got alarmed decided buy new tokens wont go im blackout details,negative,
want report power blackout kariobangi please also find common could field team cashing allowances restoration meter number,positive,
want report power blackout kariobangi please also find common could field team cashing allowances restoration meter number,positive,
power mirema road usiu road since morning scheduled blackout,neutral,
kindly assist blackout seasons road camp david account number wood fall cables,positive,
even august yet wonder lower kabete going survive whenever blackout takes hours fixed tumechoka lowekabete wangige,negative,
ac juja mastore area kalimoni road abasalama primary power blackout since last night kindly assist,positive,
hey experiencing power blackout utawala meter number going past hours kindly address issue,positive,
hey experiencing power blackout utawala meter number,positive,
blackout utawala fr hrs,neutral,
hey experiencing power blackout utawala meter number kindly assist,positive,
limuru office address strategic blackout lower kabuku,negative,
blackout every evening assistance limuru team,neutral,
utawala theres blackout na imelast like hours wasnt communicated,positive,
unscheduled blackout though,neutral,
githurai expect another blackout tomorrow tell us tukae tukijua,neutral,
always blackout utawala airways takes week backwat exactly ur problemwe always see ur vehicles zikizunguka uku ama ni madem mnakuanga mkiangaliavery incompetent,negative,
part kawangware blackout please,positive,
power blackouti inboxed details,neutral,
whats happing power utawala around benedicta area blackout since pm,positive,
ive unable purchase token hrs pls look im blackout,positive,
hi power blackout since pm today thome apartments gathiga area meter near ekaya gardens kindly advise,positive,
blackout kamutiine around accurate health centre lower kabete account,negative,
barely hide urge suppressing people githurai economically numerous power blackouts note never see githurai statements give places experience power blackouts,negative,
githurai tumekuwa na blackout aki please something meter number,positive,
blackout since last night molo area mucathakiambaa kindly assist,positive,
hello tried since morning load token meter keeps telling failed kindly assist blackout,negative,
kindly check dm need help niko kwa blackout even kulipa token,positive,
blackout fedha kwa ndege area since morning please fix,positive,
hello kenya power kindly assist us blackout meter mogotio rd parklands rd thank powersawa,positive,
another blackout embakasi since hours people,neutral,
power blackout astrol utawala kindly restore,positive,
blackout zimmerman since morninghrs later nothing done misbehaving every,positive,
scheduled outage section kinoo experiencing power blackout since jana usiku mtr kindly assist tuingie kazi bana,positive,
power meru makutano whats happening keep experiencing blackout,neutral,
please check power keeps going metre happening since last night blackout,positive,
helloneed make complaint area experiencing blackout whereas neighbouring area doesnt,negative,
evening blackout area around pm ruiru around zetech university rainbow resort acc kindly help issue,positive,
blackout buru buru phase possible transformer explosion acct kindly assist,positive,
must blackout langata every week address,neutral,
good morning power blackout kamuranga kiserian kindly assist account number,positive,
dear customercare nokindly check us whats wrong electricity supply small section within estate every week blackoutits days without electricity weekyet adjacent ruaraka power substationmetre,negative,
morning got blackout area since pm last night ac,neutral,
people luckysummer blackout since sunday date kindly something,positive,
hrs without electricityno one said anything sad country prides efficient terms service deliverythere countries never experienced blackout years,negative,
experienced power blackout umoja embakasi west nairobi since morning someone claiming customer care person calling asking suspicious questions asking share mpesa transactions number,positive,
hello kindly note power blackout since yesterday pm old kiambu town kangoya mtr kindly sort,positive,
power blackout whole day today tuesday umoja embakasi west nairobi whats matter,positive,
hello kindly note power blackout since yesterday pm old kiambu town mtr kindly sort,positive,
hello residents kware still suffering days blackout kenyan citizens kindly move speed restore power businesses closed security questionable,positive,
kindly experiencing blackout kasarani mwiki area second day,positive,
planned scheduled blackout last week kiu kenda waverly estate weeks list yet power yet meter number,positive,
blackout second consecutive day athi river,neutral,
weve blackout since yesterday morning kibos kisumu acc kindly restore power,positive,
gd morning weve blackout since yesterday morning kibos kisumu acc kindly restore power,positive,
blackout drive,neutral,
even morning theres blackout,neutral,
hi weve blackout since morning kibos kisumu acc kindly restore power,positive,
anytime kuna protest kuna blackout,negative,
hi shauri moyo shopping centers around sda church shauri moyo police station experiencing blackout days kindly work thank,positive,
seasons kasarani experienced blackout kindly help us,positive,
power poles rammed onto building near scholar academy githuraiblackout overac mbl,neutral,
planned power interruption area yet blackout since pm meter number,negative,
mtr hrs blackout jameni,neutral,
people githurai always experience power blackout every time starting suspect deliberate attempt cripple economy area know well majority business owners,negative,
hi power ngong around zambia area blackout occurred om acc,neutral,
kitengela blackout without notice hadi saizi pm,neutral,
blackout gimu estateathriver,neutral,
hey theres blackout since morning nalepo environs update mtr,neutral,
morning thank restoring power back yesterday blackout area around ruiru around zetech university rainbow resort acc kindly help issue,positive,
karatina nyeripower outage knocked door pm yesterday unwarranted power interruption offthereforeit seems going power blackout almost httphoursits truly disheartening,negative,
unscheduled power blackout,neutral,
gd morning blackout kibos kisumu acc,neutral,
incurring serious business losses area due hour blackout despite reporting nyeri office calling several times farm lost lot tonight better,negative,
transformer taken two months ago given uptodate weve living blackout since given thieves opportunity steal shops please please need transformer ndegoriedo centre rongo constituency migori,negative,
kindly restore power day blackout account good morning,positive,
disturbed kenyan citizen blackout almost months reason transformer broke replacing hard empty promises yet responsibility area suneka please act,negative,
mtr frequent power loss almost every day must hours blackout becoming serious inconvenience kindly address issue,negative,
subjected us unannounced blackout close hrs incompetence,negative,
account without power since notice scheduled blackout exists,neutral,
scheduled maintenance umoja innercore blackout ac number,positive,
power gone umoja innercore blackout ac number,positive,
scheduled power blackout syokimau,neutral,
blackout car wash days surely lights came back pm yesterday morning hakuna meter number,positive,
blackout help,positive,
blackout parts kayole matopeni area next kayole police station insane,negative,
blackout palm valley apartments masanduku road ac kindly assist,positive,
sent dm metre activation didnt even look stop using metre use power direct without metre cant blackout th day respond,positive,
kuna scheduled blackout gikambura kwani lights went morning yawa,neutral,
unscheduled power blackout great wall gardens athi river phase area account number could issue kindly assist,positive,
facing blackout response,neutral,
blackout kakamega town warning,negative,
account blackout hrs response,neutral,
since updated token meter wen load token reject problem kplc pls help going blackout,negative,
hours change blackout wrong services say hr customer service till still dark literally serious buana muache kucheza brikicho,negative,
whats meter rejecting tokens blackout days updated mtr,negative,
hey experiencing power blackout utawala meter number kindly assist,positive,
everyday blackout bamburi bana kwani hamtaki kutupea stima,neutral,
ngong list planned maintenance blackout since morning kindly address,positive,
unscheduled power blackout,neutral,
blackout lemiso road ngong metre number surrounding neighbors power kindly assist,positive,
blackout utawala around astrol phase thats experiencing power outage buildings houses dont power meter kings apartments kindly look issue,positive,
tana river county affected blackout whole day still darkness,negative,
jericho area power blackout week tired darkness,negative,
weve blackout since acc,neutral,
power kitisuru since yesterday restored hour blackout hii ni nini,positive,
ussd isnt working contacting time without success kindly experiencing blackout hatutaingia online sasa,negative,
blackout foward close ac,neutral,
issue cant solve nyamataro kisii pm must blackout really inconvenience alot kisii find us permanent solution shouldnt frequently please,negative,
blackout kindly sort us acc,positive,
blackout miwanimachakos teachers college road mwanzo,neutral,
kindly check kasarani sunton chieko blackout since sunday,positive,
weve experiencing full day blackout yet arent listed kyumbi st teresa delima,neutral,
kasarani sportview estate hrs blackout mention frequent blackouts last months,neutral,
power blackout umoja estate along moi drive kplc truck came monday staff kplc overalls went transformer removed fuse dont power reported monday power restored reported last night power black,positive,
blackout kilimani acc kindly look,positive,
day blackouttinganga kiambu ac,neutral,
update token arae blackout years,neutral,
meru igembe north laare blackout since yesterday morning,neutral,
blackout know,neutral,
power blackout shiranga area njiru ward nairobi past one week filled complaint still nothing,negative,
keep blackout every single day house getting tiring every single time one areas mentioned fix problem kindly irritating meter number,negative,
experiencing power blackout houses peniel estate kitengela,neutral,
blackout ac since morningi raised two tickets morning eveningkindly needful,neutral,
days blackout dagoretti near gitiba pri sch area yet response whats going ac pls look,positive,
kindly look outage issue mtr since th july blackout kindly assist,positive,
hi scheduled maintenance kite yet theres power every week theres blackout whats working,neutral,
send team restore power blackout hours ac ticket number speedy response highly appreciated,positive,
blackout area thogoto way ttc please fix asap ref,positive,
hello theres blackout area kindly look,positive,
hi blackout kibos kisumu acc,neutral,
whats wrong line serving ac last two weeks area cant power one day experiencing blackout kindly sort becoming much,positive,
hello banda chepsonoi line blackout almost hours kindly help restore pm thank,positive,
dear kenya power customer servicei writing express concern regarding persistent power blackout issues experiencing tiwi mwachema since friday power nothing done despite calling kplc ukunda,positive,
currently experiencing blackout quickmart kikuyu road waithaka meter,neutral,
hellowe experiencing blackout since last night around meru university environskindly assist,neutral,
raised complain reference number meter number since friday blackout greenfields phase six nairobithis fair keeping mind foodstuffs spoiling,positive,
kuna blackout khwisero list,neutral,
nowadays u bring blackout even weekend without notice,neutral,
blackout yesterday donholm greenfields estate phase happening,neutral,
kindly note section umoja around superloaf primary experienced blackout week action despite calls residents children businesses hard economy,positive,
kplc joseph siror complete circus human brain evolved years way common sense dictates one cant means subject consumers blackout weekend heart strongly believe kplc offices occupied soon,positive,
kindly note concern areas within alsops gsu drivein logistic section flats blackout frm yesterday pm pls restore asap kenyapower powerblackout alsops kware mukurudarkesthour,positive,
blackout,neutral,
kindly assist us blackout kamulu estate metre number,positive,
blackout ruaka mulberry court apartments environs update,neutral,
still blackout days later,neutral,
power blackout last three days ruiru matangi stage called preri next preri academy account number,positive,
hey blackout katangi machakos since yesterday afternoon please kindly assist,positive,
days counting total blackout meter make sense anymore thing asap,neutral,
experiencing power blackout saturday morning wasnt scheduled list everestpark aparts environs athirive mombasa rd area,neutral,
kindly assist blackout friday upto account,positive,
nairobi kayole junctionchemichemi street blackout since yesterday kenya power wake please,positive,
lying us youre going restore power days blackout seems fine na calls hamchukui meter number,negative,
hi day us still blackout meter number,positive,
blackout area ac,neutral,
hello total blackout likoni vijiweni mombasaplease help meter number,positive,
hallo kindly restore power khwisero moms vigil disrupted blackout restore power khwisero kindly,positive,
residents mumbaka imulembo kakamega county receive support team since wednesday despite submitting complain officers power blackout,positive,
weve blackout since last week kinoo surelywhats,neutral,
kinoo mama ngina one week blackout,neutral,
blackout dagoretti near gitiba pri sch area since yesterday ac pls look,positive,
kindly restore power matasia outage since morning relying electricity work planned outage area environs yet blackout account number,positive,
happening njiru kasarani kuna blackout,neutral,
area experience blackout daysnon officers come help us despite raising complain,positive,
hi blackout issue stopped started recurring lately meter number,negative,
kiambu town experiencing blackout kindly restore power soonest,positive,
blackout days responded calls mirema road opposite safari park gardens going restore power counting loses,negative,
blackout section kiambu town mtr kindly resolve asap,positive,
kindly advice still blackout account,positive,
last sceduled mantainance seemingly sorted garden estate constant blackouts looks like back blackout garden estate next oak place like yesterday,positive,
olkalou emergency dept called gachwe kahuho week blackout said cant take action coz one person called complain people elderly mind action,negative,
hae sent guys message like two weeks agoyou came picked transformer weeks ago never returned blackout ever since whats problem weeks electricity huruma daniel komboni road area total blackoutplease come fix situation,negative,
kindly restore electricity area near juwaba social hall kilifi county ive checked blackout maintenance notice area isnt included meter,positive,
