Author,Handle,Post,Date,Likes,Reposts,Comments,Post Link,Profile Link
Gichuru,@dgichuru,I was in the field Jana. Almost touched an illegal connection live wire. That shit was scary. @KenyaPower_Care you mean you have legitimized illegal connections in the slum areas?,1-Mar,1,,3,https://x.com/dgichuru,https://x.com/dgichuru
Henry moseley,@moseleybob,It is also suspected that there are so many connections fron a single line hence the reason for cutout,29-Jul,,,,https://x.com/moseleybob,https://x.com/moseleybob
Tii Soo Puns,@mutisoEsq,@KenyaPower_Care  this post is leaning hazardously kindly assist in fixing it. The area is Mlolongo just behind the car wash at Hotel Connections,16-May,,,1,https://x.com/mutisoEsq,https://x.com/mutisoEsq
Benson Kamau,@bkndungu,"Can't tell really, there can't be that many connections that could be keeping them thaat busy.",24-Feb,1,1,2,https://x.com/bkndungu,https://x.com/bkndungu
𝓨𝓾𝓼𝓼𝓾𝓯 𝓘𝓫𝓻𝓪𝓱𝓲𝓶™,@YussufIbra,"Dear @KenyaPower_Care @KenyaPower, it’s seems you are on a tree cutting rampage . Have you considered underground connections instead of these ugly poles? I think it’s a better option instead of destroying the few trees left in this concrete jungle!",7-Jun,28,11,5,https://x.com/YussufIbra,https://x.com/YussufIbra
livasia Ernest,@Ernest_Livasia,"Hi, unfortunately power at Tassia Kwa Ndege estate has been disconnected due to illegal connections.  Seems it might take a while to be restored.",9-May,,,1,https://x.com/Ernest_Livasia,https://x.com/Ernest_Livasia
Naman Ryassa,@lutenikongolo,@KenyaPower_Care Take note of complaint number 11442673 & 11458824...Nothing has been done since Thursday 20th this month..For how long should your customers be endangered by faulty  distribution lines & loose connections making their houses uninhabitable?..,24-Jun,,,,https://x.com/lutenikongolo,https://x.com/lutenikongolo
Miss Peaches,@Peaches_254,"@KenyaPower_Care  This INCOMPETENT CORRUPT COMPANY, KENYA POWER, knows about all these Illegal Connections, but they are TOO LAZY to do Anything about it!! Are you PROFITING from this?? Coz i can't understand how, this has been happening under your watch for OVER 1 YEAR and yet",26-Jul,,,2,https://x.com/Peaches_254,https://x.com/Peaches_254
John,@JohnMaran890,"@KenyaPower_Care Why take away transformers for a whole area and then call those affected to come to your offices for ""discussions"". What discussions are these when the connections were made formally and that you should use your systems to confirm client by client?",10-Apr,1,,1,https://x.com/JohnMaran890,https://x.com/JohnMaran890
Roselynn,@Nigelobelo,NO POWER OLEPOLOS - NGONG TWO DAYS RUNNING. WE ARE HAVING ILLEGAL CONNECTIONS YET YOU CAN'T DO ANYTHING. WE ARE PAYING NOT TO HAVE ELECTRICITY,14-Mar,2,,4,https://x.com/Nigelobelo,https://x.com/Nigelobelo
Richie Hart,@RichieHart88062,Hello you guys restore them connections back to migori come on,30-May,,,,https://x.com/RichieHart88062,https://x.com/RichieHart88062
abel chumba,@chumbaabel10,"This is the same complain I have against @KenyaPower_Care , instead of legalizing all the illegal connections,they choose to just be under the AC and pass the cost to those legally connected. Upuzi!!!",21-Feb,4,,,https://x.com/chumbaabel10,https://x.com/chumbaabel10
K M Alumasa,@KMAlumasa1,"@KenyaPower_Care Meter No. 37196338893 Complaints 11208516, 11226953. Day 6 with no electricity for over 200 customers. Your team took away Transformer coz of illegal connections yet your staff are involved. The Regional Manager should act decisively. It's a perennial problem.",7-May,,,2,https://x.com/KMAlumasa1,https://x.com/KMAlumasa1
Ricos,@Ricos69530864,@KenyaPower_Care nowadays you pple interrupt power connections as a pastime. You're looking for overtime and therefore creating work where there's none. The whole of junction kodoyo homabay is affected. Account no 14252039202.Kindly deal,11-May,,,1,https://x.com/Ricos69530864,https://x.com/Ricos69530864
JM,@Tata_YaBana,"There's a trend gaining traction in KE, someone with connections builds a residential house and quickly leases it to government entities. @KeNHAKenya @NSSF_ke @KenyaPower_Care etc. Some are in nondescript locations finding them in difficult.",13-Jan,,,,https://x.com/Tata_YaBana,https://x.com/Tata_YaBana
Gamaliel Kirimi,@GamalielKirimi,"What could be the issue in Meru with this kenyapower officials..in a place called Munandene few metres from Giaki..it is just a issue of connections and yet it has been delayed for 3 weeks now,our business are down .. someone kindly to help us",10-Feb,,,,https://x.com/GamalielKirimi,https://x.com/GamalielKirimi
IT,@Kaiser_Damovic,@KenyaPower_Care nayo wanasema meters hakuna for new connections since last year. Hii nchi inachosha,19-Jan,1,,2,https://x.com/Kaiser_Damovic,https://x.com/Kaiser_Damovic
WEDDINGSBYRUE,@weddingsbyrue,"You guys are literally making your job to be the customer’s job. We have to be at work, bado sisi ndio tutachunga watu wasimake illegal connections ?Case and example; our mtaa has not had lights for the past three days & kplc guys came and took our transformer because of overload",18-Jan,1,,1,https://x.com/weddingsbyrue,https://x.com/weddingsbyrue
MKenya Mzalendo,@Siasaniuongo,By the way why do you give exaggerated quotations for new power connections?,22-Jan,,,,https://x.com/Siasaniuongo,https://x.com/Siasaniuongo
Nimo Gathuku,@nimogathuku,@KenyaPower_Care  ref. 10597026.   15 hours later still no power. . Your people making illegal connections are over loading this transformer. is there a particular way you wish for us to report this incident coz ni kama hamskii,24-Jan,,,2,https://x.com/nimogathuku,https://x.com/nimogathuku
Foreman,@johnbattista10,@KenyaPower_Care do we really have illegal connections on high voltage cables?,25-Jan,,,,https://x.com/johnbattista10,https://x.com/johnbattista10
Foreman,@johnbattista10,@KenyaPower_Care do we really have illegal connections on high voltage cables?,25-Jan,,,,https://x.com/johnbattista10,https://x.com/johnbattista10
