Author,Handle,Post,Date,Likes,Reposts,Comments,Post Link,Profile Link
MUTHAMAKI,@_Muthamaki_,Bought tokens but they keep rejecting meter number 46201211649 Kindly help with the update code,30-Jun,,,,https://x.com/_Muthamaki_,https://x.com/_Muthamaki_
Bogonko Nyokang'i,@Bogonko101,You guys You can't respond to Clients for assistance! I have bought tokens but can't load I'm told rejected! What a bogus company lakini we are dealing with! Assist clients you guys! My meter number 37196459582,29-Jun,,,,https://x.com/Bogonko101,https://x.com/Bogonko101
Conspiracy Theuri,@BabyKiongozi,"@KenyaPower_Care SFT62VS532 Confirmed. Ksh999.00 sent to KPLC PREPAID for account 14104104204 on 29/6/24 at 10:56 HELLO, bought tokens above and still i haven't received the token texts with the number. I am in darkness.",29-Jun,,,,https://x.com/BabyKiongozi,https://x.com/BabyKiongozi
Thomas mwendwa,@Thomasmwendwa6,"Sasa when will you address hii issue ya CIU kureject tokens,@ke",29-Jun,,,,https://x.com/Thomasmwendwa6,https://x.com/Thomasmwendwa6
Eric Kagoko,@EricKagoko,Good evening am eric i have bought token i have no got any message since date 27 i have not gotten my token  nor the upgrade codes,29-Jun,,,,https://x.com/EricKagoko,https://x.com/EricKagoko
mwende,@mwemutuku,"@KenyaPower_Care I bought tokens and got a message with the reset codes. 
I inserted the first code successfully.
When doing the second code it didnt go through and gave me an error message pad loc. 

My metre number is 37231570237

Please assist. Thanks",29-Jun,,,,https://x.com/mwemutuku,https://x.com/mwemutuku
Charles Mungaithi,@Chuck47218201,I have received update text and am running out of Tokens ! What do I do?,29-Jun,,,,https://x.com/Chuck47218201,https://x.com/Chuck47218201
wahu kimani,@wahukimani5,Hi. I'm having issues loading my token. This is my metre number  92103970395. Kindly assist,29-Jun,,,1,https://x.com/wahukimani5,https://x.com/wahukimani5
mwende,@mwemutuku,"Hi I bought tokens and got a message with the reset codes. 

I inserted the first code successfully.

When doing the second code it didnt go through and gave me an error message pad loc. 

My metre number is 37231570237

Please assist. Thanks",29-Jun,,,1,https://x.com/mwemutuku,https://x.com/mwemutuku
Shann,@shanny_han,Kindly give me the upgrade codes for my meter:14252150975. I have bought tokens since yesterday but they are not loading into the CIU only giving the message 'REJECT'. Kindly assist..we are in darkness.,29-Jun,,,1,https://x.com/shanny_han,https://x.com/shanny_han
wahu kimani,@wahukimani5,@KenyaPower_Care Hi. I'm having issues loading my token. This is my metre number  92103970395. Kindly assist,29-Jun,,,1,https://x.com/wahukimani5,https://x.com/wahukimani5
𝐆@𝐜𝐡@𝐫𝐢,@Gachari_ke,@KenyaPower_Care check DM. I did not receive tokens since then,29-Jun,,,,https://x.com/Gachari_ke,https://x.com/Gachari_ke
PROF LAGAT,@KDLagat,"@KenyaPower_Care kindly send me tokens for meter 37171925334, i purchased for ksh 200 and ksh 100. But i have only received for ksh 100",29-Jun,,,,https://x.com/KDLagat,https://x.com/KDLagat
wainasmos,@MosesKamau34227,I bought token and till now haven’t received 37170416632,29-Jun,1,,1,https://x.com/MosesKamau34227,https://x.com/MosesKamau34227
Sir Andanje,@SirAndanje,"@KenyaPower_Care...
Are the system for the token working, have bought the units but the CIU  says reject when I press the enter button",29-Jun,,,2,https://x.com/SirAndanje,https://x.com/SirAndanje
Jeremiah Karpa,@Jerryjeremy_K,"I can't load my Token since yesterday,meter no.37180566889,almost shutting",29-Jun,,,1,https://x.com/Jerryjeremy_K,https://x.com/Jerryjeremy_K
Ali Ture,@AliTure7,For how more hours or weeks must I wait? No reset codes No tokens Nothing! Kwani mnatakaje?,29-Jun,,,1,https://x.com/AliTure7,https://x.com/AliTure7
Liam_moha,@Liam_moha,"Hello kindly assist me, i purchased tokens and i got the codes but keeps failing to update. Mtr no. 54403929604",29-Jun,,,1,https://x.com/Liam_moha,https://x.com/Liam_moha
Salvaa The First,@itsEl_Salvador,On Monday I was notified that my Token meter is scheduled for update! I loaded some amount as per the instructions I haven't received any codes yet! Should I be worried??,29-Jun,1,,1,https://x.com/itsEl_Salvador,https://x.com/itsEl_Salvador
Austin AYara,@totoaus,"@KenyaPower_Care  I bought tokens to the wrong metre number.
I sent you a DM at 9 a.m with the details. 10hrs later you haven't responded. What's up?",29-Jun,1,,1,https://x.com/totoaus,https://x.com/totoaus
Austin AYara,@totoaus,"@KenyaPower_Care  I bought tokens to the wrong metre number.
I sent you a DM at 9 a.m with the details. 10hrs later you haven't responded. What's up?",29-Jun,1,,,https://x.com/totoaus,https://x.com/totoaus
Austin AYara,@totoaus,"@KenyaPower_Care  I bought tokens to the wrong metre number.
I sent you a DM at 9 a.m with the details. 10hrs later you haven't responded. What's up?",29-Jun,,,,https://x.com/totoaus,https://x.com/totoaus
