Author,Handle,Post,Date,Likes,Reposts,Comments,Post Link,Profile Lİnk
Mollis Tales,@Morris87071274,"Despite multiple reports and complaints from residents, your technicians have not adequately addressed this issue. We urgently request that KPLC send a qualified team to inspect and repair the transformer as soon as possible.",Jul 30,,,,,
Mollis Tales,@Morris87071274,":

Dear KPLC,

I am writing to report a serious ongoing issue with the area transformer located at Rongai-Ngong Road (near Gataka Mosque). Our neighborhood has been experiencing frequent blackouts due to problems with this transformer.",Jul 30,,,,,
Mollis Tales,@Morris87071274,"@KenyaPower_Care 
Dear KPLC,

I am writing to report a serious ongoing issue with the area transformer located at Rongai-Ngong Road (near Gataka Mosque). Our neighborhood has been experiencing frequent blackouts due to problems with this transformer.",Jul 30,,,2,,
jymo,@jameschege96,@KenyaPower_Care hallo from juja farm kwamurage three weeks now bila stima since you took off our transformer kindly we are sufering,Jul 30,,,,,
Adrine Wangari,@adrine_benson,@KenyaPower_Care @KenyaPower how long does it take to replace a faulty transformer because we are already on day 10. Complaint ref. 11582992 kindly advise.,Jul 30,,,,,
buigatz,@buigatz,@KenyaPower_Care  Severed electric cables that were severed by a caterpillar grader from the transformer next to the Ndenderu Dispensary on Thursday  25th July 2024 at 11am. Despite the fact that over 40 households have been cut off electricity since Thursday.,Jul 30,,,2,,
Iansmith,@Ondikoiansmith,hey kenya power we have not been having electricity  for the past 1 month due to transformer  blowing  they took it but  we have not been given an alternative measure  kindly help in siaya county alego usonga constituency  north alego ward  uyundo village,Jul 30,2,,2,,
Paola,@Paulandambuki,You came carried our transformer last week on Monday 1 week later we don't have electricity in ruiru behind the mark hotel you guys are really joking accounts 14467219771,Jul 30,,,,,
Kennedy Okeyo,@KennedyOke12567,"I hope you were including my area in Kisii County. You disappeared with our transformer, leaving a school with over 10000 students (mixed school in a blackout for over 4 months).",Jul 30,,,,,
yvonne laboso,@MissChepp,"Hello @KenyaPower_Care , we have a power outages in our area, Kihunguro, around Mark hotel and JCM church. We have been informed it's a transformer issue, I donno how true this is but kindly fast track its resolution.metre number 14467296506",Jul 30,,,,,
Men_A_CE001,@Men_A_CE001,"Why are tenants from Sunton, Kasarani being asked to pay for a transformer to be changed?! Did we mess it up? Were we in any way responsible for the issue that arised?! What is this supposed to reflect?",Jul 30,,,,,
Basil Oberholzer,@basiloberholzer,Account No. 20205266 has not had power connection for over 4 weeks after a transformer exploded. Can you please have this fixed?,Jul 30,1,,2,,
Wairo,@carolynewairo,@KenyaPower_Care day 10 where is our transformer??? Sunton,Jul 30,,,,,
Wairo,@carolynewairo,@KenyaPower_Care day 10 where is our transformer??? Sunton,Jul 30,,,,,
Lucy Njiru,@LucyNjiru8,@KenyaPower_Care is *977# working? Been trying to get my bill since yesterday and calling your customer care to no avail.,July 30,,,4,,
shebeshebe,@chebet457959892,The way mumefuruka utawala mtu hawezi jua we pay KPLC bills..we are in darkness since 7pm,July 30,,,,,
Lucy Njiru,@LucyNjiru8,Is the postpaid code working? Been trying to check my bill since yesterday to no avail.,July 30,,,,,
kelvin kemm,@____blueprint__,@KenyaPower_Care surely the whole day without power at lower kabete... We are paying our bills... What is happening???!!!,July 30,,,1,,
Grace Mbogo,@Shiko_Mbogo,@KenyaPower_Care good morning. I have been trying to find my bill using the 97771 SMS code to no avail. Account number 23373137. Kindly assist,July 30,,,2,,
Dollar billionaire,@Aggrey54022048,"@KenyaPower_Care  the transformer at nyamare primary bonchari constituency, kisii county is not working. Mr fix it",Jul 29,,,,,
Jane Ouko,@JaneOuko383327,@KenyaPower_Care in mtwapa Royal tamara a/c14419947339 a few  houses without power. Transformer was producing sparks earlier.,Jul 29,,,,,
Calvin Smawl,@calvin_smawl,"@OsoroSylvanus @KenyaPower_Care Hello. The residents of Ekona centre, Etago Sub County, Kisii County have been without electricity for two weeks now. The transformer exploded a 2 wks ago. Due to this, resetting and updating the token metres has bn a problem. Plz act fast, help",Jul 29,,,,,
Mze,@JakobMze,@KenyaPower_Care how much longer will we wait for a transformer? Meter number 106154933 has been without power for four months now,Jul 29,,,1,,
jymo,@jameschege96,@KenyaPower_Care  hallo what's happening in juja farm kwamurage three weeks bado tuko kwa giza since they took our transformer,Jul 29,,,,,
speters,@speters2024,We have an issue of fault transformer at our home area..Alot of homestead (Mukunike ....kangundo) are leaving in dark for the last two months since June to date.please we need your help ..How long should we wait..communicate with your offices Tala Branch.Thank you,Jul 29,1,,,,
KMugambi90,@KennMugambi90,"@KenyaPower_Care 
Hello KPLC we don't have power in Mlolongo area specifically Masai shop area.
We're told that transformer is faulty from morning and nothing is being done.Kindly assist it's affecting our businesses.",Jul 29,,,1,,
