Author,Handle,Media URL,Reposts,Likes,Comments,Views,Post Link,Profile Link,Post,Date
Momanyi,@Momanyi10908868,,,,1,233,https://x.com/Momanyi10908868/status/1817982183673606227,https://x.com/Momanyi10908868,"We are already in a blackout as @6pm, 37170880035",29-Jul
Francis Kimunya,@FrancisKimunya,,,,,21,https://x.com/FrancisKimunya/status/1817967437591232932,https://x.com/FrancisKimunya,@KenyaPower_Care we are in blackout the whole of Njoro and Egerton University area please is there any hope of getting the power back,29-Jul
Lina Cheps,@LinaCheps,,,,1,24,https://x.com/LinaCheps/status/1817851169449902373,https://x.com/LinaCheps,We are in a blackout again please resolve,29-Jul
Chimano Shihembetsa,@CShihembetsa,,,,,219,https://x.com/CShihembetsa/status/1817623995057070138,https://x.com/CShihembetsa,"@KenyaPower_Care @KenyaPower kindly check out power line, we've had a blackout yesterday and today same time from 8pm, we have businesses to run and we need power, come fix it guys, we're located behind Melissa Academy, Acc. No. 14420116874",28-Jul
Chimano Shihembetsa,@CShihembetsa,,,1,,20,https://x.com/CShihembetsa/status/1817623585101668457,https://x.com/CShihembetsa,"@KenyaPower_Care kindly check out power line, we've had a blackout yesterday and today same time from 8pm, we have businesses to run and we need power, we can't suffer losses all the time, we're located behind Melissa Academy, Acc. No. 14420116874",28-Jul
lamka,@vicklamka,,,1,,35,https://x.com/vicklamka/status/1817615774808248817,https://x.com/vicklamka,@KenyaPower_Care  blackout for the last 2 hrs . kindly work on it 54606974167,28-Jul
Chimano Shihembetsa,@CShihembetsa,,,1,,26,https://x.com/CShihembetsa/status/1817615690100305948,https://x.com/CShihembetsa,"@KenyaPower_Care kindly check out power line, we've had a blackout yesterday and today same time from 8pm, we have businesses to run and we need power, we're located behind Melissa Academy, Acc. No. 14420116874",28-Jul
Grace Gachagua,@gachagua_grace,,,1,,14,https://x.com/gachagua_grace/status/1817593915937104301,https://x.com/gachagua_grace,I am having a blackout  since yesterday at 2pm my meter number is 37267153338,28-Jul
Grace Gachagua,@gachagua_grace,,,,1,12,https://x.com/gachagua_grace/status/1817593636801872217,https://x.com/gachagua_grace,I am in blackout  since yesterday my meter number is 37267153338,28-Jul
Grace Gachagua,@gachagua_grace,,,1,1,8,https://x.com/gachagua_grace/status/1817593181732540573,https://x.com/gachagua_grace,@KenyaPower_Care  am in blackout since yesterday 2pm  my meter number is 37267153338,28-Jul
Sky Jimmy,@Youngskyjimmy,,,,1,23,https://x.com/Youngskyjimmy/status/1817588127927800177,https://x.com/Youngskyjimmy,"@KenyaPower_Care Hi, No Power For Hours Now In Makadara Mogas, Jogoo Rd. Total Blackout!!",28-Jul
Jeff,@st_kiag0,,,,1,35,https://x.com/st_kiag0/status/1817583127688356188,https://x.com/st_kiag0,"@KenyaPower_Care a/c no 14467578663 juja mastore area, kalimoni road abasalama primary. Power blackout for hours please assist",28-Jul
Gikundi Michubu,@GikundiMichubu,,,,,39,https://x.com/GikundiMichubu/status/1817544957575434645,https://x.com/GikundiMichubu,"Why didn't you give notice about the blackout at Gakale area of Kombani in Kwale County? Since Thursday night up to now, you must be joking.",28-Jul
Benjamin Milimo,@BenjaminMilimo,,,,1,175,https://x.com/BenjaminMilimo/status/1817480061517242847,https://x.com/BenjaminMilimo,@KenyaPower_Care blackout at Bungoma police area since 7 am,28-Jul
SYLVIA,@sylviakwamboka_,,,,,61,https://x.com/sylviakwamboka_/status/1817469108918608327,https://x.com/sylviakwamboka_,@KenyaPower_Care  at what time will this blackout end ?,28-Jul
Mayer Dickens,@Merab_Dickens,,,,2,116,https://x.com/Merab_Dickens/status/1817465505604591930,https://x.com/Merab_Dickens,@KenyaPower_Care mbona tuko na blackout on Sunday na hakuna scheduled maintenance . Please Restore MTR45072838779,28-Jul
Simon oyamo,@oyamoh,,,1,1,712,https://x.com/oyamoh/status/1817418572177514922,https://x.com/oyamoh,Morning kindly note that we have a power blackout around Tassia Embakasi East near Baraka Estate. Kindly expedite to restore normalcy-Meter No-37176295519,28-Jul
Dee Njeri,@MDee_Njeri,,,,1,60,https://x.com/MDee_Njeri/status/1817417894235365531,https://x.com/MDee_Njeri,"@KenyaPower_Care surely, blackout at 6am on a sunday morning? Tassia police post area mtr 37151171115.",28-Jul
Amb. Derek,@254diplomat_,,,,1,31,https://x.com/254diplomat_/status/1817289266713477255,https://x.com/254diplomat_,"Hi, I complained yesterday about Koru-Soin Dam and Got Alila Area, no response or reaction. We're still in utter blackout. Called people in your office, nothing. This level of incompetence must stop. Equipment at that site of the dam are at risk. Do something and call Muhoroni",27-Jul
Madee,@Madee1641196,,,,,3,https://x.com/Madee1641196/status/1817283782971641871,https://x.com/Madee1641196,"@KenyaPower_Care 
Kindly We have been having a blackout from last night
Reference number 11603223
We have waited the whole day for your team
Thank you",27-Jul
Susan Munene,@susanmunene,,,,1,126,https://x.com/susanmunene/status/1817267783601999915,https://x.com/susanmunene,"34363218 MUKIMA GARDEN ESTATE BLACKOUT FOR 72 HOURS (3 DAYS). ALL OUR FOOD IS NOW BAD, OUR CHARGEABLE LIGHTS N PHONES DEAD. WE ARE STUCK.",27-Jul
Njeru,@NjeruSamuel,,,,,20,https://x.com/NjeruSamuel/status/1817248255471665381,https://x.com/NjeruSamuel,@KenyaPower_Care @KenyaPower Why blackout now? See DM,27-Jul
Maria Mbeneka,@mbenekam,,,,2,300,https://x.com/mbenekam/status/1817247477587738748,https://x.com/mbenekam,@KenyaPower_Care power blackout in my area. This is my reference number 11603994. Kindly advise,27-Jul
giddy Cassie,@giddy685,,,,,24,https://x.com/giddy685/status/1817246866628898956,https://x.com/giddy685,Heyy why does blackout in our area every day like we can't have good electricity without getting lost,27-Jul
octavia_butler_knew,@thekimisdead_,,,,,22,https://x.com/thekimisdead_/status/1817246512650264848,https://x.com/thekimisdead_,"@KenyaPower_Care Blackout in Meru
Account number 16619324.",27-Jul
Dan Kaburu,@KaburuDan,,,1,,48,https://x.com/KaburuDan/status/1817243134356566351,https://x.com/KaburuDan,"@KenyaPower_Care hello... Last night it was a blackout which continued the whole day till now. Is it possible to inform us on time not to store food items? Coz the loses are too much!!.. I wonder for how long... 54607980494.
It's sickening!",27-Jul
Susan Munene,@susanmunene,,,,,21,https://x.com/susanmunene/status/1817239837717438910,https://x.com/susanmunene,"PLEASE RESPOND TO DM. 34363218 BLACKOUT FOR 72 HOURS (3 DAYS). ALL OUR FOOD IS NOW BAD, OUR CHARGEABLE LIGHTS N PHONES DEAD. WE ARE STUCK.",27-Jul
Freedom fighter,@BoucherDecors,,,1,,15,https://x.com/BoucherDecors/status/1817237512475005102,https://x.com/BoucherDecors,"It is very irritating when we have one place where we keep having power blackouts every evening!! Everyday we have to have a blackout. We just finished 2full weeks without power!

Are you bagas not ashamed???

Incompetence per excellence

Complaint No. 11603767",27-Jul
Grace Gachagua,@gachagua_grace,,,1,,16,https://x.com/gachagua_grace/status/1817233073655750806,https://x.com/gachagua_grace,I am in blackout  my meter number is 37267153338 though I am not in the designated area,27-Jul
Miss Pope,@TinahOuru,,,1,2,40,https://x.com/TinahOuru/status/1817226477911294446,https://x.com/TinahOuru,"@KenyaPower_Care Need assistance with my token metre. It keeps on showing failed when I try and feed tokens. It had been stuck on same token readings for some days, I got alarmed and decided to buy new tokens but the won't go through and now I'm in blackout. Here are the details",27-Jul
malachinakome,@malachinakome1,,,,,23,https://x.com/malachinakome1/status/1817140432284922326,https://x.com/malachinakome1,I want to report about power blackout in Kariobangi but please also find out why they are so common. Could the field team be cashing on allowances for restoration? Meter number 14104235123,27-Jul
malachinakome,@malachinakome1,,,,,19,https://x.com/malachinakome1/status/1817140404673777940,https://x.com/malachinakome1,I want to report about power blackout in Kariobangi but please also find out why they are so common. Could the field team be cashing on allowances for restoration? Meter number 14104235123,27-Jul
malachinakome,@malachinakome1,,,,,20,https://x.com/malachinakome1/status/1817140359916306894,https://x.com/malachinakome1,@KenyaPower_Care I want to report about power blackout in Kariobangi but please also find out why they are so common. Could the field team be cashing on allowances for restoration? Meter number 14104235123,27-Jul
Jeanette,@JnttNemo,,,,1,82,https://x.com/JnttNemo/status/1817125613100048551,https://x.com/JnttNemo,@KenyaPower_Care no power on Mirema road and usiu road since morning. Is this a scheduled blackout?,27-Jul
Geoffrey Kuria,@GeoffreyKuria17,,,,,16,https://x.com/GeoffreyKuria17/status/1817117310760411557,https://x.com/GeoffreyKuria17,"@KenyaPower_Care 
Kindly assist blackout seasons road camp david account number 45136248569 Wood fall on cables",27-Jul
Patrick Munene,@Patmsoo,,1,,,134,https://x.com/Patmsoo/status/1817109353935089782,https://x.com/Patmsoo,"@KenyaPower_Care We are not even in August yet, I wonder how we in Lower Kabete are going to survive. Whenever we have a blackout, it takes more than 24hours to have it fixed, tumechoka!!! #lowekabete #wangige",27-Jul
Jeff,@st_kiag0,,,,,23,https://x.com/st_kiag0/status/1817087784848416974,https://x.com/st_kiag0,"@KenyaPower_Care a/c no 14467578663 ,juja mastore area, kalimoni road, abasalama primary. Power blackout since last night kindly assist",27-Jul
januszy,@januszy2,,,2,,196,https://x.com/januszy2/status/1817072665221357961,https://x.com/januszy2,"@KenyaPower_Care Hey 
I am experiencing a power blackout in Utawala 
My meter number is 14245762316
This has been going on for the past 24 hours. Kindly address the issue",27-Jul
