Handle,Post,Date
@oleykan69,kenyapowercare long take restore transformer damaged vandalised culprits brought book maybe tiekunu lines power kindly check neighborhood mutarakwadagoretti rd thank,29-Apr
@kak_yeah,transformer vihiga county sabatia subcountysabatia divisionwodanga location mudungu village burning scaring flares currently kindly assist us,29-Apr
@Woud_Nyathira,light days service men want bribed ksh k restore transformer carried kind service delivery,29-Apr
@ellemanani,kenyapowercare hours without power transformer blew last night tafadhali tafadhali tafadhali sort us,29-Apr
@Smithkmn,guys ever think phase balancing transformer gathiga kabete kiambu county every evening fuse blow rendering line power neighbours enjoy lights dont,29-Apr
@CynthiaMatere,go near transformer live wire concerned absurd problem still resolved jesus,29-Apr
@CliffOsoro92176,whats wrong ruai block transformerno power,29-Apr
@julietdotts,kenyapowercare hallogood evening power account please took transformer friday still darkness thank,29-Apr
@shherryyzz,kenyapowercare transformer burst flame entrance theta hotel kenyatta road power since kindly look meter,29-Apr
@maerowaka,issue offices hundreds time times transformer taken repair lakini,29-Apr
@Miss_Ogeto,please update transformer issue zambia road eliud wakaba area shade homes surroundings power since yesterdays scheduled maintenance,29-Apr
@Tonillence,hello anthony following issue reported reference team visited area morning temporary solution power went loud bang transformer still darkness rd day,29-Apr
@mulwaa7_,kindly power kahawa wendani almost near githurai seems issue transformer kindly adress,29-Apr
@kamoseh,umoja peacock problem since last week transformer hasnt changed almost week black please help,29-Apr
@CynthiaMatere,kenyapowercare naked wires fallen transformer jogoo kimakia hotel along gatanga road account please send guys disaster,29-Apr
@taphia_k,kenyapowercare power failure since friday acc please attend main transformer issue tafadhali,29-Apr
@davidmuregi,kenyapowercare loud bang transformer homex apartment karuri power went expedite engineers,29-Apr
@FredWakaba15,really hope last light end tunnel gitiha area gave darkness two months finally shall get transformer stolen,29-Apr
@miss.karanja,kenyapowercare ref transformer blew power went,28-Apr
@andrewowino447,transformer ya dandora bado haijarudishwa since thursday hatuna stima,28-Apr
@JUDICIALWATCHKE,kenyapowercare laikipia supermarket saika along kangundo road new transformer faulty lost power last nyt pm upto corrected kindly sort issue,28-Apr
@NicoleVallarie,afternooncan guys kindly check transformer opposite caslet resort rongo,28-Apr
@wanzetse_betty,kenyapowercare kindly help sort nearly one month power outage kimililimkulimakibisi areamsikiti wa wawanga area team kapsokwony visited transformer nd may disabled since gone mum regarding restoration power,28-Apr
@NicoleVallarie,afternoon guy check transformer rongo opposite caslet resort migori county,28-Apr
@bhadie_bhaby,kenyapowercare one week electricity meter number kindly assist know transformer failure week plus get update least,28-Apr
@Sechma,kenyapowercare umoja g zone transformer exploded power,28-Apr
@PThiga,kenyapowercare power loud bang transformer ticket,28-Apr
@unlimited_ke,kenyapowercare kenyapower belivekinuthia honkangata another day remind hatuna stima since transformer stolen greedy kenyapower workers,28-Apr
@FredWakaba15,need transformer gitiha gwa kariuki area githunguri subcounty kiambu county dark two months please assist,27-Apr
@WMwaniki,kenyapowercare many times issues transformer fuses,27-Apr
@Wycliff_ngutuku,kenyapowercare hi kindly help power ac please give referenceit recurring apparently transformer keeps drippingwe tired,27-Apr
@ArchEmawero,kenyapowercare theres faulty transformer thindigua near mzuzi park causing sorts issues lines snapped fallen neighbours compound kindly send team sort,27-Apr
@KabiloAjima,kenyapowercare ref long take fix transformer surely weve dark week taking us circles,27-Apr
@roselynmuganda,gesora road shooters utawala power whole week wires hanging transformer feedback details dm,27-Apr
@wairimumungai5,hello power kayole quarry road since monday nd due transformer failurethe transformer taken thursday th since communication mademetre,27-Apr
