Author,Handle,Media URL,Reposts,Likes,Comments,Views,Post Link,Profile Link,Post,Date
Lizzie,@Elle_njesh,,,1,1,23,https://x.com/Elle_njesh/status/1818698747716481231,https://x.com/Elle_njesh,"Kindly assist with power restoration, we haven’t had electricity since 6:30am.
We were not in the list of areas expecting interruption today.
Additional details in the DM",31-Jul
Joan Kyalo,@MwendeJm,"https://pbs.twimg.com/media/GTzfEx5XAAAz2b5?format=jpg&name=900x900, https://pbs.twimg.com/media/GTzfEx5XAAAz2b5?format=jpg&name=900x900",,1,3,57,https://x.com/MwendeJm/status/1818573625726849441,https://x.com/MwendeJm,"@KenyaPower_Care no planned interruption what are there no lights 
Acc 1436779555
Ref: 11617635",31-Jul
Big propeller,@AngelaKeru53267,,,1,1,71,https://x.com/AngelaKeru53267/status/1818531321422971113,https://x.com/AngelaKeru53267,"Hello. What about the power interruption in Mlolongo phase 3, there's no notice on such na we're at day 2 without lights. Thank you.",31-Jul
KING JAMES 4,@mainajameskuria,,,,,158,https://x.com/mainajameskuria/status/1818346791256903831,https://x.com/mainajameskuria,"Can you tweet earlier for people to plan well,sasa tweet za interruption saa tuta usiku wengine wa melala.",30-Jul
Mohazan,@Mohazan1O1,,,,,71,https://x.com/Mohazan1O1/status/1818197712740737067,https://x.com/Mohazan1O1,Why is that always Fedha Estate and its neighbouring area is always a target for power interruption yet the area is not on the list for maintenance. Why?,30-Jul
Jolie R Mutua,@Mutua_Jolie,,,,1,27,https://x.com/Mutua_Jolie/status/1818177474674487540,https://x.com/Mutua_Jolie,@KenyaPower_Care 54405166098 os there a scheduled power interruption in Balozi South B?,30-Jul
meg kinyanjui,@megkinya,,,,,112,https://x.com/megkinya/status/1817853561927037313,https://x.com/megkinya,Power outage at baraka close off kibiko rd Ngong. No schedule interruption from your list.,29-Jul
N7,@Nandanyonge,,,1,,47,https://x.com/Nandanyonge/status/1817411466787442987,https://x.com/Nandanyonge,Last Sunday we received the same notice of power interruption like this one in Mumias but after u did your work we have remained in darkness.What were you maintaining at MUMIAS KIDS center or your people came to destroy?,28-Jul
Jose,@Jose379172352,,,,,24,https://x.com/Jose379172352/status/1817239568506044810,https://x.com/Jose379172352,"@KenyaPower_Care This Juja Murera - RIURIRO NEAR NDARASA MARKET. Yesterday on 26th we had a power interruption from 9:00 PM to 27th at about 11:00am
Now as am Posting this we are in the Dark on AGAIN.",27-Jul
N7,@Nandanyonge,,,1,,47,https://x.com/Nandanyonge/status/1817411466787442987,https://x.com/Nandanyonge,Last Sunday we received the same notice of power interruption like this one in Mumias but after u did your work we have remained in darkness.What were you maintaining at MUMIAS KIDS center or your people came to destroy?,28-Jul
