Author,Handle,Media URL,Reposts,Likes,Comments,Views,Post Link,Profile Link,Post,Date,Name,Retweets,Tweet URL,Post Body,Timestamp
Momanyi,@Momanyi10908868,,,,1.0,233,https://x.com/Momanyi10908868/status/1817982183673606227,https://x.com/Momanyi10908868,"We are already in a blackout as @6pm, 37170880035",29-Jul,,,,,
Francis Kimunya,@FrancisKimunya,,,,,21,https://x.com/FrancisKimunya/status/1817967437591232932,https://x.com/FrancisKimunya,@KenyaPower_Care we are in blackout the whole of Njoro and Egerton University area please is there any hope of getting the power back,29-Jul,,,,,
Lina Cheps,@LinaCheps,,,,1.0,24,https://x.com/LinaCheps/status/1817851169449902373,https://x.com/LinaCheps,We are in a blackout again please resolve,29-Jul,,,,,
Chimano Shihembetsa,@CShihembetsa,,,,,219,https://x.com/CShihembetsa/status/1817623995057070138,https://x.com/CShihembetsa,"@KenyaPower_Care @KenyaPower kindly check out power line, we've had a blackout yesterday and today same time from 8pm, we have businesses to run and we need power, come fix it guys, we're located behind Melissa Academy, Acc. No. 14420116874",28-Jul,,,,,
Chimano Shihembetsa,@CShihembetsa,,,1.0,,20,https://x.com/CShihembetsa/status/1817623585101668457,https://x.com/CShihembetsa,"@KenyaPower_Care kindly check out power line, we've had a blackout yesterday and today same time from 8pm, we have businesses to run and we need power, we can't suffer losses all the time, we're located behind Melissa Academy, Acc. No. 14420116874",28-Jul,,,,,
lamka,@vicklamka,,,1.0,,35,https://x.com/vicklamka/status/1817615774808248817,https://x.com/vicklamka,@KenyaPower_Care  blackout for the last 2 hrs . kindly work on it 54606974167,28-Jul,,,,,
Chimano Shihembetsa,@CShihembetsa,,,1.0,,26,https://x.com/CShihembetsa/status/1817615690100305948,https://x.com/CShihembetsa,"@KenyaPower_Care kindly check out power line, we've had a blackout yesterday and today same time from 8pm, we have businesses to run and we need power, we're located behind Melissa Academy, Acc. No. 14420116874",28-Jul,,,,,
Grace Gachagua,@gachagua_grace,,,1.0,,14,https://x.com/gachagua_grace/status/1817593915937104301,https://x.com/gachagua_grace,I am having a blackout  since yesterday at 2pm my meter number is 37267153338,28-Jul,,,,,
Grace Gachagua,@gachagua_grace,,,,1.0,12,https://x.com/gachagua_grace/status/1817593636801872217,https://x.com/gachagua_grace,I am in blackout  since yesterday my meter number is 37267153338,28-Jul,,,,,
Grace Gachagua,@gachagua_grace,,,1.0,1.0,8,https://x.com/gachagua_grace/status/1817593181732540573,https://x.com/gachagua_grace,@KenyaPower_Care  am in blackout since yesterday 2pm  my meter number is 37267153338,28-Jul,,,,,
