Author,Handle,Post,Date,Likes,Reposts,Comments,Post Link,Profile Link
Jully Gesure,@GesureJully,@KenyaPower_Care @KenyaPower the lowest moment for me this year is KPLC giving me a 700k quote for a electricity connection yet the nearest pole is just 20meters way. Reason they cant tap from it: Illegal connection yet neighbour pays monthly bill @chirchir_davis @kot,28-Dec-23,,,,https://x.com/GesureJully,https://x.com/GesureJully
I'm Rabet,@KaimatiKuu,"In his defense, the president had directed that Kenyans were free to put up illegal connections and KPLC was mandated toeter such connections. The courts would face the sword for being enemies of Kenyans.",21-Dec-23,,1,,https://x.com/KaimatiKuu,https://x.com/KaimatiKuu
Kenya4Kenyans Uncompromised,@KakiLackson,Must be a @KenyaPower_Care employee who accomplished the connection to the grid.,21-Dec-23,,,,https://x.com/KakiLackson,https://x.com/KakiLackson
Sarah Ibrahim,@SarahIb14076456,"Hmmmm. Which side did you wake up after your 5mins nap? What made you think of power connection? Did KPLC do you as they do Kenyans I mean bill error of over 500k? Welcome back to reality. The chilli soup you said was good for Kenyans, its good for your health too.",20-Dec-23,15,,2,https://x.com/SarahIb14076456,https://x.com/SarahIb14076456
Ahmednasir Abdullahi SC,@ahmednasirlaw,May be the @Kenyajudiciary and @ODPP_KE should appraise Kenyans...what happened to the case of the MP from Ukambani who made illegal power connection and when the illegal connection was discovered he started beating up employees of @KenyaPower. I remember he was taken to court.,20-Dec-23,757,144,144,https://x.com/ahmednasirlaw,https://x.com/ahmednasirlaw
Joel,@j_kamotho,"@KenyaPower .  The answer is right on the table; unfortunately, no one is interested. Make the cost of a new connection affordable, or else you will grapple with illegal connections for the longest time.",20-Dec-23,1,,,https://x.com/j_kamotho,https://x.com/j_kamotho
The Kenya Power & Lighting Company Plc.,@KenyaPower,"The Company will hold a roadshow within Muranga County to sensitize customers on the safe use of electricity as well as address rising cases of transformer vandalism and illegal power connections within the county.

Photo Courtesy @DCI_Kenya",20-Dec-23,11,3,8,https://x.com/KenyaPower,https://x.com/KenyaPower
"Eng. Thomas Koech PE, MIEK, MIAeng,",@EngkoechT,"Bomet especially chepalungu sub county has the least electricity connection. Almost 80% of all households don't have power.what plans do you have as ketraco  and Kenya power to speed up this?@MativoMJohn, @KETRACO1 , @kenyapower",19-Dec-23,3,2,1,https://x.com/EngkoechT,https://x.com/EngkoechT
The Next Big Thing,@murrayk1,"@kenyapower can Breathe New Life if it gets its Simplest Task well ,Get Customers Connected to Electricity ,
Disengage from Political Expedient & Non Economical Schemes like Last Mile Connections 
Stop Mirage projects like E- Cooking ,Internet ,E -Charging Stations etc",11-Dec-23,,,1,https://x.com/murrayk1,https://x.com/murrayk1
Kip ni Saito,@Kipnisaito11,Did you know the new connection cost was increased by 500%?,11-Dec-23,,,,https://x.com/Kipnisaito11,https://x.com/Kipnisaito11
Purity is my name,@Purieshi,"@KenyaPower I've been trying to put tokens since 7am and it keeps saying FAILED. I've tried going to my neighbours house but still the connection fails. Account number 14467052941, please help.",10-Dec-23,,,1,https://x.com/Purieshi,https://x.com/Purieshi
Anjeyo Asiji,@AnjeyoA,Power again in Kinoo 87 ! What is happening with the connection this side? Kindly use my metre number to track the affected areas...37221669338,10-Dec-23,1,,,https://x.com/AnjeyoA,https://x.com/AnjeyoA
Edward Nyette,@edward_nyette,"After my last post on @KenyaPower page, here is a response from @KenyaPower_Care: ""Hello, we have raised  a delay in connection complaint ref R02149231*****, and we are following up to expedite installation.^WW""

Repost if, like me, you don't believe any action will be taken.",9-Dec-23,,,,https://x.com/edward_nyette,https://x.com/edward_nyette
oscar martin,@oscarelimartin,You stopped distributing pwer? Am 200M from a trasformer  and a power line passes through my shamba and i have been asked to pay 250k for connection to my homestead. Alaa,8-Dec-23,,,,https://x.com/oscarelimartin,https://x.com/oscarelimartin
TG Mike,@TgMaleek,Shida ni eti by jioni hizo illegal connections zitakuwa up and running.,8-Dec-23,,,,https://x.com/TgMaleek,https://x.com/TgMaleek
Owichezzz,@PiocheBrio,Why can’t you @KenyaPower disconnect the illegal lines on a transformer instead of kutukatia stima kila siku?  I know you guys know that there are illegal connections that brings the overload,8-Dec-23,9,1,1,https://x.com/PiocheBrio,https://x.com/PiocheBrio
Xavier Lutta,@Luttxav,"Got a 220,000/= connection bill(7 poles)..That's too high.",8-Dec-23,,,1,https://x.com/Luttxav,https://x.com/Luttxav
The Next Big Thing,@murrayk1,"@KenyaPower @EnergyMinK @EPRA_Ke Why is Kenya Power Holding Customers in Contempt 
You Apply for Electricity Connection e.g for Apartment Building having 15 Flats all you get Quoted for is a Service Line Cable & 1 Meter Supply",7-Dec-23,,,1,https://x.com/murrayk1,https://x.com/murrayk1
The Next Big Thing,@murrayk1,"@KenyaPower @EnergyMinK @EPRA_Ke Why is Kenya Power Holding Customers in Contempt 
You Apply for Electricity Connection e.g for Apartment Building having 15 Flats all you get Quoted for is a Service Line Cable & 1 Meter Supply",6-Dec-23,,1,,https://x.com/murrayk1,https://x.com/murrayk1
PreMalone.,@MalaaHappydon,Some exercise by @KenyaPower_Care  @KenyaPower  today in my estate have made killing.They come to your apprtmnt ask if you have a 3 phase connection or of you have applied. If you don't even if you applied they disconnect unless you give kachai.Some may end up in the dark today.,5-Dec-23,,,2,https://x.com/MalaaHappydon,https://x.com/MalaaHappydon
PETER Karori,@PETERKarori2,"Does it mean your staff including GM the only thing they know is about ant fraud and vandalism,,,,talk more concerning power connection, power interruptions, renewable energy,,,,,why do you take Long to connect customer yet you are paid,,why customer,,many more concerning KP.",5-Dec-23,1,,,https://x.com/PETERKarori2,https://x.com/PETERKarori2
Faith Wangari,@Faymaingi,"@KenyaPower I bought tokens but my they are not loading, connection error... What do I do",2-Dec-23,2,4,,https://x.com/Faymaingi,https://x.com/Faymaingi
Kim,@BertRui,What a funny thing to say! You came to Chebaraa and took away two transformers - one from the borehole and another one from Chebaraa secondary school. What happens to the tokens? What happens to the amount we paid for connection because no more hope?,1-Dec-23,,,,https://x.com/BertRui,https://x.com/BertRui
Silvester Nyakundi,@SilverNyakundi,"@KenyaPower what exactly is happening? I have called customer care services to report my frustrations getting connection for payment I made almost a year, quoted amount of about Kshs. 270k, can I please get some help to look at the issue, property at Kisii",27-Nov-23,,1,1,https://x.com/SilverNyakundi,https://x.com/SilverNyakundi
Silvester Nyakundi,@SilverNyakundi,"@KenyaPower I made a quoted payment of about Kshs 270k for a three phase connection at Kisii Nyangena, almost a year now and no connection done, some meters have been installed, posts have been placed, every time I ask am told of a contactor, but I made payment to KPLC, advise",27-Nov-23,,,1,https://x.com/SilverNyakundi,https://x.com/SilverNyakundi
@AbbasDeejay,@AbbasDeejay,"@WilliamsRuto Good Evening your Excellency. My Church at NARoMORU applied & payed for stima connection 2 months ago & nothing yet has been done by @KenyaPower , Kindly assist because this is pure Sabotage. Thank you",26-Nov-23,,,,https://x.com/AbbasDeejay,https://x.com/AbbasDeejay
The Kenya Power & Lighting Company Plc.,@KenyaPower,"#KaaRada
#UsikubaliConmen  

Customers are advised to pay for services at our offices ONLY, and not to individuals. Payments can also be made via *977#, or through the Paybill numbers listed below.

1.  Prepaid Tokens  888880
2. Bill Payment  888888
3. New connections  888899",21-Nov-23,20,8,20,https://x.com/KenyaPower,https://x.com/KenyaPower
Follow IG:@sail_i_am,@jsailepo,How some areas have never been connected to power till today is still amuse yet connection is a few meters away...please check on olooseos village in kiserian kajiado county it's a shame that some kenyans are still in the dark in 2023,20-Nov-23,,,,https://x.com/jsailepo,https://x.com/jsailepo
Nyambura,@Esthertony,I know the @KilifiCountyGov and @KenyaPower are well aware stone miners steal electricity and make haphazard connections to the quarries. But let's wait till these open wires start electrocuting residents everywhere with these heavy rains then we'll form a task force.,18-Nov-23,,,,https://x.com/Esthertony,https://x.com/Esthertony
Johnson Muthui,@jnmuts,@JosephSiror are you aware that your organisation's service cycle is more than 1 year between application of power until connection is done? @KenyaPower_Care check what's happening at Tala branch as an example. Its time @KenyaPower  got disbanded @kot share your experiences!,17-Nov-23,,1,1,https://x.com/jnmuts,https://x.com/jnmuts
jack jeconia msafiri,@jackmsaff,@KenyaPower  @KenyaPower_Care kindly correct the issues we have of frequent power outages in my area. Cut down all the illegal power connections that make us live in darkness.,17-Nov-23,,,1,https://x.com/jackmsaff,https://x.com/jackmsaff
Oduor Nguka,@OduorNguka,What have you been doing since the theft began centuries ago?! and ensure legit power connections are done once those mulika lines are destroyed. But most Important mpunguze bei ya stima and improve efficiency mostly on new power requests.,16-Nov-23,,,2,https://x.com/OduorNguka,https://x.com/OduorNguka
Sophie Mugure Njehia,@MugureNjehia,"Blackout? 
This is a situation that is really affecting businesses most especially remote workers who really need electricity and internet connection to accomplish tasks. 

@gabrieloguda @KenyaPower @BravinYuri @wmnjoya",14-Nov-23,1,,1,https://x.com/MugureNjehia,https://x.com/MugureNjehia
boera michael,@Engmichael_ke,I'm qualified and the truth is they stopped although former communication is yet to be made. They want one meter per plot then you csn do sub metering so that illegal connections can be eliminated,11-Nov-23,,,,https://x.com/Engmichael_ke,https://x.com/Engmichael_ke
𝐌𝐮𝐭𝐡𝐨𝐦𝐢 𝐌𝐚𝐫𝐭𝐢𝐧'𝐬,@Realtors_X,@KenyaPower_Care  Consumer exploitation at it's peak as landlords are accused of illegal power connection in Zimmerman causing tenants to stay in darkness for  weeks. Businesses are hurting and @KenyaPower is punishing tenants who have no idea of the connections @HonMoses_Kuria,11-Nov-23,2,1,,https://x.com/Realtors_X,https://x.com/Realtors_X
Augustus Kamitu,@agkamitu,Hi @KenyaPower I made payments for a new connection E28952023090055 in September and still not connected. What's the issue?,10-Nov-23,,,2,https://x.com/agkamitu,https://x.com/agkamitu
Christen J. Adams,@jkbosa,"Dear @KenyaPower @KenyaPower_Care this magnificent 5 storey building in Embakasi East constituency lower Savannah ward Patanisho Estate was completed back in June 2023, Tenants booked through payment BUT to date the is NO POWER CONNECTION. Please act! @C_NyaKundiH @citizentvkenya",10-Nov-23,,,1,https://x.com/jkbosa,https://x.com/jkbosa
