Author,Handle,Post,Date,Likes,Reposts,Comments,Post Link,Profile Link
OTIS JANAM,@Woud_Nyathira,No light for 28days now and your service men want to be bribed with ksh 20k to restore a transformer which they carried ..what kind of service delivery is that ??,29-Apr,,,2,https://x.com/Woud_Nyathira,https://x.com/Woud_Nyathira
Marx,@ingoyi,"@KenyaPower_Care No power in parliament phase 5 - Maki house - Katani - road syokimau since yesterday 7pm. Kplc mlolongo not resolving tickets raised   via*977#.  It's now 24 hours of unresolved tickets.

How we pray for an alternative peer service provider.!",29-Apr,,,,https://x.com/ingoyi,https://x.com/ingoyi
"Kenya, my beloved country",@MOGAKAAMOS,"@KenyaPower_Care, your KPLC staff are demanding ksh.18000 to restore electricity at the Patanisho area of Kayole . What's happening???Third day now.
The integrity of our institutions is being compromised.Must we give a bribe to get a service???
Just asking as a concerned citizen.",29-Apr,,,1,https://x.com/MOGAKAAMOS,https://x.com/MOGAKAAMOS
PatsyJames,@PatsyJa26446841,Hello kenya power care AC 23798952 we still in darkness no power supply please assist us begging customer's for your poor service no assistance from your technical team here I said it many times they don't give a f**k about customers here,29-Apr,1,1,,https://x.com/PatsyJa26446841,https://x.com/PatsyJa26446841
PatsyJames,@PatsyJa26446841,Hello kenya power care AC 23798952 again today as every day we on your ON OFF supply daily  assist us customer's begging for your poor service we getting daily we honestly not getting assistance from you or your technical team here who don't care about customer's,29-Apr,1,1,1,https://x.com/PatsyJa26446841,https://x.com/PatsyJa26446841
PatsyJames,@PatsyJa26446841,Hello kenya power care AC 23798952 again like every day we have no power supply please assist us customer's begging every day for your poor service we getting your technical team here honestly don't care about customer's here please assist us ASAP,29-Apr,1,1,,https://x.com/PatsyJa26446841,https://x.com/PatsyJa26446841
jude nthiwa,@NthiwaJude,"@kplc
Customer care . How long does it take to reallocate tokens after sending the filled reallocation form, mpesa payment evidence and ID copy as per one of your customer service attendant's advice? Since 23/4/23 even no email acknowledgement!!",29-Apr,,,1,https://x.com/NthiwaJude,https://x.com/NthiwaJude
Placebo,@Brainloved,"@KenyaPower_Care
Bad service provider in ukunda, we have no power since Saturday and we called in and nothing has been done! 
Shame on you ukunda kplc",29-Apr,,,4,https://x.com/Brainloved,https://x.com/Brainloved
PatsyJames,@PatsyJa26446841,Hello kenya power care AC 23798952 when are we getting your assistance from you or your technical team here we have no power supply all day we not on your maintenance list we constantly getting your poor service here please  assist begging us customer's,28-Apr,1,1,1,https://x.com/PatsyJa26446841,https://x.com/PatsyJa26446841
Lameck Okeyo,@lamokeyo,What is the time this interruption was to end? Am in Kibos and my neighbors have power restored already and my line has no power!!!!!! Please reconnect us we need the service urgently for I am using an electric car and need to use it tomorrow,28-Apr,,,1,https://x.com/lamokeyo,https://x.com/lamokeyo
PatsyJames,@PatsyJa26446841,Hello kenya power care AC 23798952 are you guys all gone with the electricity  we have no power supply all day as usual daily poor service I have reported but getting no asistance from you or your technical team here who don't care about us customer's,28-Apr,1,1,,https://x.com/PatsyJa26446841,https://x.com/PatsyJa26446841
Mwanainchi-Mzalendo,@LianiMartyne,"@KenyaPower_Care good work,am truely proudly greatiful for your service to all sectors in this country Kenya power rain seasons but lighting up Kenya every time.....Godbless u",28-Apr,,,1,https://x.com/LianiMartyne,https://x.com/LianiMartyne
PatsyJames,@PatsyJa26446841,Hello kenya power care AC 23798952 we still have no power no assistance from you or your technical team here who don't care about customer's why are we on your ON OFF supply daily since beginning of last year we keep begging for your poor service daily,28-Apr,1,1,,https://x.com/PatsyJa26446841,https://x.com/PatsyJa26446841
Ayeesha,@ChaosMayhemm,"@KenyaPower_Care After putting my call on hold for more than 15 minutes and my airtime being used for absolutely nothing, your agent picks up the call and stays quiet!!! FFS! I am completely frustrated by you and your mediocre service! Can you switch on power in Thindigua",28-Apr,,,,https://x.com/ChaosMayhemm,https://x.com/ChaosMayhemm
Stacy,@StacyNyambura15,@KenyaPower_Care Can someone advise what we are expected to do to get service.  Almost 3 days without power!!!! 31862616.,27-Apr,,,1,https://x.com/StacyNyambura15,https://x.com/StacyNyambura15
Mimi Diaries,@_mimidiaries,"@KenyaPower_Care kindly check DM.
Calls to your customer service lines not being picked, been waiting for like half an hour on call.",25-Apr,,,2,https://x.com/_mimidiaries,https://x.com/_mimidiaries
Michael,@Mike_funsite,"U people should say at the end.. ""remember if u don have credit this service is useless "" yesterday I paid my token,end now it's 24hrs u guys haven't sent any details hii ni mala ya nne kuniibia",25-Apr,,,,https://x.com/Mike_funsite,https://x.com/Mike_funsite
malcolm x,@BeerCheeseBooks,@KenyaPower_Care it's been 14 hours and counting without power in golfcourse. Zero response and rude customer care. Pathetic service,25-Apr,,,1,https://x.com/BeerCheeseBooks,https://x.com/BeerCheeseBooks
House Plants,@HousePlant47997,"14252506465, we have had no power for close to 20hrs now. Also, did you fire customer service people? Your lines are never picked.",25-Apr,,,2,https://x.com/HousePlant47997,https://x.com/HousePlant47997
