Author,Handle,Post,Date,Likes,Reposts,Comments,Post Link,Profile Lİnk
gilbert kaunda stima,@SuufStima,@KenyaPower what is prepay bill number,"May 31, 2016",,,1,https://x.com/SuufStima,https://x.com/SuufStima
Sack of cool vibes,@79patrickm,"@kenyapower @kenyapower_care power outage Gwa-Kairu, Ruiru. Rudisheni stima bana. Acc No :2424795-01","Apr 15, 2016",,,1,https://x.com/79patrickm,https://x.com/79patrickm
Njeru,@NjeruSamuel,@KenyaPower @KenyaPower_Care  HAKUNA STIMA KITALE HAPA KWA GATUA CC @ConsumersKenya,"May 29, 2016",,,1,https://x.com/NjeruSamuel,https://x.com/NjeruSamuel
Njeru,@NjeruSamuel,"rudisha Stima Kitale bwana, on! Off the whole day? Cc @KenyaPower_Care @ConsumersKenya","Jun 24, 2016",,,1,https://x.com/NjeruSamuel,https://x.com/NjeruSamuel
JUZTUZ K Wa ARSENAL,@juztuz,"@KenyaPower you people mean that machakos yote hakuna mtu amelipa stima..ndo mtueke kwa giza ivi. 
#FeelingpissedOff","Jul 11, 2016",,,1,https://x.com/juztuz,https://x.com/juztuz
Izoh-OH,@IMwenesa,@kenyapower ni tweet yangu hamuoni au pia huko hakuna stima?,"May 17, 2016",,,,https://x.com/IMwenesa,https://x.com/IMwenesa
Adannur Mohamed,@Adannur_Mohamed,maziwa zimeharibika kwa maduka zetu tangu Tuesday ref ni 2700731  crew came and left bila kurudisha stima,"May 13, 2016",,,,https://x.com/Adannur_Mohamed,https://x.com/Adannur_Mohamed
Slimshady,@tuwei_ignecious,@KenyaPower   Halafu kuna venye hii stima yenu hupoteanga tu a night when there's gonna be a cat the next day,"Feb 24, 2016",,,,https://x.com/tuwei_ignecious,https://x.com/tuwei_ignecious
Nanzenzyko Nanzenz,@Cookshey,"@KenyaPower mbona madharau hivi.Rudisheni stima Membley Estate, Ruiru.Hii ni masaa gani ya kuoga na naji baridi?BLACKOUT @ MEMBLEY!!!!!!!","May 17, 2016",,,,https://x.com/Cookshey,https://x.com/Cookshey
Delight,@Sh_roh,@KenyaPower bana wacheni jokes rudisheni stima,"Jul 8, 2016",,,,https://x.com/Sh_roh,https://x.com/Sh_roh
Em Sefwee,@Indakwa,"@KenyaPower where are my units? KA70STHPTM Confirmed Ksh1,500. sent to OKOA STIMA 1  for account 01450123805 on 7/1/16 at 3:05 PM New M-PESA","Jan 7, 2016",,,1,https://x.com/Indakwa,https://x.com/Indakwa
Wanjiru,@RaquelShiro,@KenyaPower  mkikuja kukata stima hua hamwitishi directions lakini zikiharibika niwapee account number mnaitisha directions,"Feb 29, 2016",,,,https://x.com/RaquelShiro,https://x.com/RaquelShiro
JUZTUZ K Wa ARSENAL,@juztuz,"@KenyaPower @kenyapower_care. you people mean that machakos
yote hakuna mtu amelipa stima..ndo mtueke kwa
giza ivi. #FeelingpissedOff","Jul 11, 2016",,,,https://x.com/juztuz,https://x.com/juztuz
Sheila Chumo,@ms_chumo,@KenyaPower the guards at the Stima Plaza reception and at the entrance a big shame! Shame and Shame!,"Mar 22, 2016",,,,https://x.com/ms_chumo,https://x.com/ms_chumo
Nanzenzyko Nanzenz,@Cookshey,"@KenyaPower sincerely since 8am uscheduled blackout in Membley,http://Ruiru.Now its 6am and still no stima. Acc 14244981115","Nov 2, 2016",,,,https://x.com/Cookshey,https://x.com/Cookshey
Your Highness,@LeeHerbAlit,Better be quick on it... ama tuanze kung'oa post za stima...,"Aug 6, 2016",,,,https://x.com/LeeHerbAlit,https://x.com/LeeHerbAlit
Mistanewa tech,@djmistanewa,"@kenyapower mtaaddress issue SAA ngapi,,Mumias tunataka stima https://instagram.com/p/BKbQ3vdgRno/","Sep 16, 2016",,,,https://x.com/djmistanewa,https://x.com/djmistanewa
Mistanewa tech,@djmistanewa,"@kenyapower battery about to die,,mumias stima iregeshwe
mistanewa@gmail.com","Sep 12, 2016",,,,https://x.com/djmistanewa,https://x.com/djmistanewa
Mistanewa tech,@djmistanewa,@kenyapower some parts of mumias hatuna stima,"Sep 26, 2016",,,,https://x.com/djmistanewa,https://x.com/djmistanewa
Mistanewa tech,@djmistanewa,"@kenyapower do something stima irudi Mumias #NoPowerInMumias
mistanewa@gmail.com","Sep 12, 2016",,,,https://x.com/djmistanewa,https://x.com/djmistanewa
...,@MeshackCfc,"@KenyaPower Stima#3706344-01#Transformer next to Kalanzoni Pri Sch, Mks County, TOTALLY messed-up my Vacation back 2my beloved country.Wazup","Jan 6, 2016",,,,https://x.com/MeshackCfc,https://x.com/MeshackCfc
